,city,suburb,latitude,longitude,property_type,room_type,bedrooms,beds,price,minimum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,cancellation_policy,calculated_host_listings_count,reviews_per_month,count
0,Manningham,BULLEEN,-37.77268393,145.0921328,House,Private room,1,2,60,1,30,60,90,4,90,strict_14_with_grace_period,1,0.04,21
1,Manningham,BULLEEN,-37.7648848,145.0986211,House,Private room,1,1,55,2,29,59,89,11,96,moderate,2,0.47,21
2,Manningham,BULLEEN,-37.77384534,145.0972984,Villa,Private room,2,2,89,2,23,53,83,4,73,strict_14_with_grace_period,3,0.17,21
3,Manningham,BULLEEN,-37.77406849,145.0957933,House,Private room,1,1,300,1,30,60,90,0,,strict_14_with_grace_period,4,,21
4,Manningham,BULLEEN,-37.7687429,145.0865254,Bungalow,Private room,0,1,82,2,29,59,89,3,80,flexible,3,0.26,21
5,Manningham,BULLEEN,-37.77253354,145.0988538,Villa,Shared room,1,1,78,2,29,59,89,1,20,moderate,3,0.11,21
6,Manningham,BULLEEN,-37.77361645,145.0955829,Villa,Private room,1,1,300,1,29,59,89,1,100,strict_14_with_grace_period,4,0.05,21
7,Manningham,BULLEEN,-37.77357958,145.095922,Villa,Private room,1,1,300,1,30,60,90,1,100,strict_14_with_grace_period,4,0.05,21
8,Manningham,BULLEEN,-37.7727509,145.0962631,Villa,Private room,1,1,60,1,30,60,90,2,50,moderate,2,0.22,21
9,Manningham,BULLEEN,-37.77175034,145.095916,Villa,Private room,1,1,60,2,28,58,88,2,90,strict_14_with_grace_period,2,0.1,21
10,Manningham,BULLEEN,-37.77285194,145.0944402,Villa,Private room,1,1,300,1,29,59,89,0,,strict_14_with_grace_period,4,,21
11,Manningham,BULLEEN,-37.76449597,145.0932066,House,Private room,1,1,40,1,29,59,89,18,87,flexible,3,0.92,21
12,Manningham,BULLEEN,-37.76289077,145.0923106,House,Private room,1,1,40,1,30,60,90,21,85,flexible,3,1.25,21
