,city,suburb,latitude,longitude,property_type,room_type,bedrooms,beds,price,minimum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,cancellation_policy,calculated_host_listings_count,reviews_per_month,count
0,Yarra,ABBOTSFORD,-37.80523392,144.9951794,House,Entire home/apt,1,1,125,2,0,20,50,118,97,moderate,1,1.41,258
1,Yarra,ABBOTSFORD,-37.8033889,144.994541,House,Entire home/apt,4,6,400,7,0,0,0,4,95,strict_14_with_grace_period,1,0.06,258
2,Yarra,ABBOTSFORD,-37.79828105,144.999041,House,Private room,1,1,84,2,0,0,0,16,93,moderate,1,0.54,258
3,Yarra,ABBOTSFORD,-37.80549048,144.9929162,Apartment,Private room,1,1,60,1,0,4,34,22,91,flexible,1,0.37,258
4,Yarra,ABBOTSFORD,-37.79907667,144.9990543,House,Private room,1,1,57,6,0,0,0,1,100,strict_14_with_grace_period,2,0.04,258
5,Yarra,ABBOTSFORD,-37.80977357,144.9955951,House,Private room,1,1,60,1,18,38,66,41,91,moderate,16,0.78,258
6,Yarra,ABBOTSFORD,-37.80291654,144.9932714,House,Entire home/apt,2,2,120,2,0,0,0,11,100,flexible,1,0.19,258
7,Yarra,ABBOTSFORD,-37.80626949,144.9971645,House,Entire home/apt,2,3,199,2,0,0,0,12,100,moderate,1,0.21,258
8,Yarra,ABBOTSFORD,-37.81265596,145.013688,Apartment,Entire home/apt,2,3,174,3,6,8,9,1,100,strict_14_with_grace_period,2,0.13,258
9,Yarra,ABBOTSFORD,-37.80606942,144.9928794,Apartment,Entire home/apt,2,2,109,2,2,2,2,49,92,flexible,1,5.1,258
10,Yarra,ABBOTSFORD,-37.79768912,144.9984564,House,Private room,1,2,65,4,0,0,0,0,,flexible,2,,258
11,Yarra,ABBOTSFORD,-37.80945916,145.0020821,House,Entire home/apt,2,2,120,2,0,0,0,3,80,flexible,1,0.06,258
12,Yarra,ABBOTSFORD,-37.79978912,144.9983958,Apartment,Entire home/apt,1,1,100,1,0,0,0,12,92,strict_14_with_grace_period,1,0.23,258
13,Yarra,ABBOTSFORD,-37.81015063,145.0025272,House,Private room,1,2,80,2,22,46,73,84,99,moderate,1,1.87,258
14,Yarra,ABBOTSFORD,-37.79973426,145.0004932,Apartment,Entire home/apt,1,1,140,7,15,17,17,28,96,moderate,1,0.58,258
15,Yarra,ABBOTSFORD,-37.80197661,144.9985556,Bed and breakfast,Private room,1,1,84,2,9,39,69,4,100,flexible,1,0.08,258
16,Yarra,ABBOTSFORD,-37.80331238,144.997893,House,Entire home/apt,4,4,199,5,0,0,0,3,93,strict_14_with_grace_period,1,0.08,258
17,Yarra,ABBOTSFORD,-37.80438159,144.996753,House,Entire home/apt,2,2,138,21,0,0,0,1,100,moderate,1,0.02,258
18,Yarra,ABBOTSFORD,-37.80346627,144.9944191,House,Private room,1,1,90,1,0,0,0,0,,flexible,1,,258
19,Yarra,ABBOTSFORD,-37.80210994,144.9938861,House,Private room,1,1,40,31,30,60,90,0,,strict_14_with_grace_period,1,,258
20,Yarra,ABBOTSFORD,-37.81144319,145.0149732,Apartment,Entire home/apt,2,3,251,2,14,25,55,28,99,moderate,2,0.63,258
21,Yarra,ABBOTSFORD,-37.79717246,144.9979548,Apartment,Private room,1,1,60,2,15,22,52,88,99,strict_14_with_grace_period,2,2.08,258
22,Yarra,ABBOTSFORD,-37.79928078,144.9981533,Apartment,Private room,1,1,82,2,25,41,71,106,97,strict_14_with_grace_period,2,2.25,258
23,Yarra,ABBOTSFORD,-37.80715966,144.9962068,Apartment,Private room,1,1,65,3,5,5,5,145,91,moderate,2,3.11,258
24,Yarra,ABBOTSFORD,-37.80541434,144.9924152,House,Private room,1,1,120,2,26,56,86,26,97,moderate,1,0.56,258
25,Yarra,ABBOTSFORD,-37.80599217,144.9986029,Loft,Entire home/apt,1,2,136,3,0,0,0,146,98,moderate,1,3.15,258
26,Yarra,ABBOTSFORD,-37.79876641,144.997067,Apartment,Private room,1,1,75,1,7,28,58,43,97,moderate,1,0.95,258
